V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'u', 'B'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'u', 'B'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('Q', 'u'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('Q', 'u'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('Q', 'u'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('Q', 'u'), ('A', 's')]; S_plus:('r', 'B', 'Q'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'u'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'u'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'u'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'u'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'u', 'B', 'Q'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'u', 'B', 'Q'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'u', 'B', 'Q'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('C', 'D', 'u', 'B', 'Q'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('Q', 'u'), ('A', 's')]; S_plus:('t', 'B', 'Q', 'P'); T_star:[('A', 'B')]
